,GeneID,Localization,sum(Expression_Corr),max(Expression_Corr),min(Expression_Corr),nb_rows_in_Genes,nb_rows_in_Interactions
0,AAAAA,nucleus,-0.5497988338594609,0.6471052804468405,-0.20753863940501005,2,3.0
1,AAAAB,nucleus,8.141152703,0.21948545216092952,0.5689429823201646,6,1.0
2,AAAAC,cytoplasm,-0.5503129549999999,0.6249895627807565,-0.23288216794210537,14,2.0
3,AAAAD,cytoplasm,-0.5503129493714864,-0.0920916903727459,-0.4624849358369958,5,1.0
4,AAAAE,cytoplasm,-0.5503129550000001,0.6908666657391009,0.6027742529607543,2,1.0
5,AAAAF,nucleus,-0.5503129549998649,0.6063329361512684,0.03130390371420266,5,1.0
6,AAAAG,vacuole,-0.5503129550000001,-0.07921638770352324,-0.17352699393606907,9,2.0
7,AAAAH,vacuole,-0.5503129550000001,-0.579279886410561,-0.3664949803296851,16,1.0
8,AAAAI,cytoplasm,1.913864969067656,0.8754157486796112,-0.025173457373656838,1,2.0
9,AAAAJ,plasma membrane,-0.5503009300860228,0.32223548070212793,0.15393009555473958,1,2.0
10,AAAAK,cytoplasm,-0.5034992568874836,0.7632384253054751,0.3606053497120829,1,2.0
11,AAAAL,plasma membrane,-0.5503129550000001,-0.28998777773370854,-0.20104733308128142,1,1.0
12,AAAAM,nucleus,-0.5503129549999977,0.03991454347977108,-0.007917412470937135,9,1.0
13,AAAAN,nucleus,0.3749271094920067,0.973941289089653,1.0,2,1.0
14,AAAAO,nucleus,-0.550312954999999,0.4242786321059029,0.08845969237114959,7,2.0
15,AAAAP,vacuole,-0.5502778288282137,-0.029733619494861863,0.20082272005879975,9,2.0
16,AAAAQ,cytoplasm,-0.5492493858313086,0.9939424731121507,0.45537977011473085,4,1.0
17,AAAAR,cytoskeleton,-0.5500281758031768,0.010466732538133572,-0.3004151502984522,2,1.0
18,AAAAS,nucleus,-0.5503129550000001,0.5613738807963071,0.0017149814472301461,5,2.0
19,AAAAT,vacuole,-0.3857484301270938,-0.4663205356217465,0.21047827420003706,2,1.0
20,AAAAU,golgi,-0.5503125438192346,-0.09607244020063566,-0.6823385866243163,6,2.0
21,AAAAV,vacuole,-0.5445458573915496,0.5827653504591017,0.7582044782604491,3,1.0
22,AAAAW,mitochondria,-0.5503128258068655,0.5376573925211132,0.34463536143198725,1,1.0
23,AAAAX,cytoplasm,8.103288032124665,0.07955886430374781,0.44286503870366944,3,1.0
24,AAAAY,nucleus,-0.5281451251594215,0.7954027917034585,0.16996756788304435,2,2.0
25,AAAAZ,cytoplasm,5.006900264647908,0.7982091465365175,0.4360648565436791,8,1.0
26,AAAAa,nucleus,-0.534984619257656,0.8658362658579688,0.4290374338645129,5,3.0
27,AAAAb,cytoplasm,-0.5503129549999997,0.842622135843734,-0.03193259315503316,3,3.0
28,AAAAc,cytoplasm,-0.5503109461678436,0.8910486779277071,0.4015764692692452,4,1.0
29,AAAAd,golgi,-0.5503129550000001,-0.21998414636671793,-0.32734917422474896,2,1.0
30,AAAAe,mitochondria,6.947751408667949,0.9047074277857499,1.0,1,1.0
31,AAAAf,mitochondria,-0.5087218738084343,0.4739555350847513,0.05051195137911213,13,1.0
32,AAAAg,mitochondria,-0.5503129549999066,0.09318637079913983,-0.27441550282613925,3,1.0
33,AAAAh,plasma membrane,-0.550312931471403,-0.3213096028995416,-0.49696423003836676,5,3.0
34,AAAAi,plasma membrane,-0.5503048160914336,0.9863998109988861,0.1442403785598496,3,2.0
35,AAAAj,mitochondria,-0.5503058134789418,0.24337035310648014,-0.09998010543466762,2,1.0
36,AAAAk,cytoplasm,-0.5503129549999993,0.7034930287228698,0.15589471486911322,1,2.0
37,AAAAl,cytoplasm,-0.550312954999758,0.6993272939629742,0.36319288422248963,2,4.0
38,AAAAm,cytoskeleton,-0.5494331767027067,0.9820630751319586,0.1870767153462598,7,8.0
39,AAAAn,ER,-0.5503129550000001,-0.6155325156077291,-0.4205673808593542,1,1.0
40,AAAAo,nucleus,-0.4241576473005325,0.39165123811262204,0.5361152510741078,11,2.0
41,AAAAp,cytoskeleton,-0.5503129532979055,-0.38925996774874483,-0.21824066278000553,6,1.0
42,AAAAq,cytoplasm,-0.5503129549456462,0.12338502908149884,-0.16470482114809704,3,4.0
43,AAAAr,cytoskeleton,-0.5503129536679637,0.23640401950185197,0.27676686209593937,14,5.0
44,AAAAs,vacuole,-0.5494624507539482,0.4094306599289186,0.291267824947659,7,1.0
