,GeneID,Essential,Class,Complex,Phenotype,Motif,Chromosome,Function,Localization,add_numerical
0,AAAAA,Essential,?,"Alpha, alpha-trehalose-phosphate synthase",Cell morphology and organelle mutants,,10,PROTEIN SYNTHESIS,plasma membrane,10
1,AAAAA,Essential,?,"Alpha, alpha-trehalose-phosphate synthase",Cell morphology and organelle mutants,,10,IONIC HOMEOSTASIS,nucleus,10
2,AAAAA,Essential,?,"Alpha, alpha-trehalose-phosphate synthase",Cell morphology and organelle mutants,,10,METABOLISM,nucleus,10
3,AAAAB,?,Cyclins,?,Mating and sporulation defects,PS00841,2,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),cytoskeleton,2
4,AAAAB,?,Motorproteins,?,Mating and sporulation defects,PS00387,2,PROTEIN SYNTHESIS,cytoskeleton,2
5,AAAAB,?,Cyclins,?,?,PS00213,2,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),cytoskeleton,2
6,AAAAB,?,Molecular chaperones,?,Mating and sporulation defects,PS01159,2,PROTEIN SYNTHESIS,cytoskeleton,2
7,AAAAB,?,Cyclins,?,Mating and sporulation defects,PS00748,2,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),cytoskeleton,2
8,AAAAB,?,Motorproteins,?,?,PS00748,2,PROTEIN SYNTHESIS,cytoskeleton,2
9,AAAAC,Essential,GTP/GDP-exchange factors (GEFs),?,?,,0,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS",cytoskeleton,0
10,AAAAC,Essential,ATPases,?,?,,0,"CELL RESCUE, DEFENSE, CELL DEATH AND AGEING",cytoplasm,0
11,AAAAC,Essential,GTP/GDP-exchange factors (GEFs),?,?,,0,PROTEIN DESTINATION,cytoplasm,0
12,AAAAC,Essential,GTP/GDP-exchange factors (GEFs),?,?,,0,CELLULAR TRANSPORT AND TRANSPORTMECHANISMS,cytoplasm,0
13,AAAAC,Essential,GTP/GDP-exchange factors (GEFs),?,?,,0,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS",cytoplasm,0
14,AAAAC,Essential,GTP/GDP-exchange factors (GEFs),?,?,,0,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS",cytoplasm,0
15,AAAAC,Essential,GTP/GDP-exchange factors (GEFs),?,?,,0,CELLULAR COMMUNICATION/SIGNAL TRANSDUCTION,cytoplasm,0
16,AAAAC,Essential,GTP/GDP-exchange factors (GEFs),?,?,,0,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),cytoplasm,0
17,AAAAC,Essential,GTP/GDP-exchange factors (GEFs),?,?,,0,PROTEIN DESTINATION,cytoplasm,0
18,AAAAC,Essential,GTP/GDP-exchange factors (GEFs),?,?,,0,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),cytoplasm,0
19,AAAAC,Essential,GTP/GDP-exchange factors (GEFs),?,?,,0,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS",cytoskeleton,0
20,AAAAC,Essential,GTP/GDP-exchange factors (GEFs),?,?,,0,CELLULAR COMMUNICATION/SIGNAL TRANSDUCTION,cytoskeleton,0
21,AAAAC,Essential,GTP/GDP-exchange factors (GEFs),?,?,,0,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),cytoplasm,0
22,AAAAC,Essential,GTP/GDP-exchange factors (GEFs),?,?,,0,CELLULAR COMMUNICATION/SIGNAL TRANSDUCTION,cytoskeleton,0
23,AAAAD,Essential,Unknown,Respiration chain complexes,Mating and sporulation defects,PS01251,11,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),cytoskeleton,11
24,AAAAD,Essential,Unknown,Nucleosomal protein complex,?,PS01251,11,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),cytoskeleton,11
25,AAAAD,Essential,Unknown,Nucleosomal protein complex,Mating and sporulation defects,PS01251,11,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),cytoplasm,11
26,AAAAD,Essential,Unknown,Nucleosomal protein complex,?,PS01251,11,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),cytoplasm,11
27,AAAAD,Essential,Unknown,Nucleosomal protein complex,?,PS01251,11,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),cytoplasm,11
28,AAAAD,Essential,Unknown,Respiration chain complexes,?,PS01251,11,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),cytoskeleton,11
29,AAAAE,?,,Translation complexes,?,PS01248,11,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),cytoplasm,11
30,AAAAE,?,,Translation complexes,?,PS01248,11,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),cytoplasm,11
31,AAAAF,Essential,Nucleases,Transcription complexes/Transcriptosome,Mating and sporulation defects,PS00357,16,PROTEIN SYNTHESIS,plasma membrane,16
32,AAAAF,Essential,Unknown,Transcription complexes/Transcriptosome,Cell cycle defects,PS00357,16,PROTEIN SYNTHESIS,plasma membrane,16
33,AAAAF,Essential,Nucleases,Transcription complexes/Transcriptosome,Cell cycle defects,PS00357,16,"CELL RESCUE, DEFENSE, CELL DEATH AND AGEING",plasma membrane,16
34,AAAAF,Essential,Unknown,Transcription complexes/Transcriptosome,Cell cycle defects,PS00357,16,PROTEIN SYNTHESIS,plasma membrane,16
35,AAAAF,Essential,Nucleases,Transcription complexes/Transcriptosome,Cell cycle defects,PS00357,16,"CELL RESCUE, DEFENSE, CELL DEATH AND AGEING",plasma membrane,16
36,AAAAG,Essential,GTPase activating proteins (GAPs),Cyclin-CDK (Cyclin-dependent kinases) complexes,Mating and sporulation defects,PS00824,3,CELLULAR COMMUNICATION/SIGNAL TRANSDUCTION,plasma membrane,3
37,AAAAG,Essential,GTPase activating proteins (GAPs),Cyclin-CDK (Cyclin-dependent kinases) complexes,Mating and sporulation defects,PS00824,3,ENERGY,plasma membrane,3
38,AAAAG,Essential,Polymerases,Cyclin-CDK (Cyclin-dependent kinases) complexes,Cell morphology and organelle mutants,PS00824,3,CELLULAR COMMUNICATION/SIGNAL TRANSDUCTION,plasma membrane,3
39,AAAAG,Essential,Polymerases,Cyclin-CDK (Cyclin-dependent kinases) complexes,Mating and sporulation defects,PS00824,3,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS",plasma membrane,3
40,AAAAG,Essential,Polymerases,Cyclin-CDK (Cyclin-dependent kinases) complexes,Mating and sporulation defects,PS00824,3,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),plasma membrane,3
41,AAAAG,Essential,GTPase activating proteins (GAPs),Cyclin-CDK (Cyclin-dependent kinases) complexes,Conditional phenotypes,PS00824,3,ENERGY,plasma membrane,3
42,AAAAG,Essential,Polymerases,Cyclin-CDK (Cyclin-dependent kinases) complexes,Cell morphology and organelle mutants,PS00824,3,CELLULAR COMMUNICATION/SIGNAL TRANSDUCTION,plasma membrane,3
43,AAAAG,Essential,GTPase activating proteins (GAPs),Cyclin-CDK (Cyclin-dependent kinases) complexes,Cell cycle defects,PS00824,3,TRANSCRIPTION,plasma membrane,3
44,AAAAG,Essential,GTPase activating proteins (GAPs),Cyclin-CDK (Cyclin-dependent kinases) complexes,Mating and sporulation defects,PS00824,3,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS",plasma membrane,3
45,AAAAH,Essential,GTP/GDP-exchange factors (GEFs),Nucleosomal protein complex,Conditional phenotypes,PS00824,11,CELLULAR TRANSPORT AND TRANSPORTMECHANISMS,nucleus,11
46,AAAAH,Essential,GTP/GDP-exchange factors (GEFs),Nucleosomal protein complex,Cell cycle defects,PS00824,11,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),plasma membrane,11
47,AAAAH,Essential,GTP/GDP-exchange factors (GEFs),Respiration chain complexes,Cell cycle defects,PS00824,11,METABOLISM,nucleus,11
48,AAAAH,Essential,GTP/GDP-exchange factors (GEFs),Nucleosomal protein complex,Mating and sporulation defects,PS00824,11,METABOLISM,nucleus,11
49,AAAAH,Essential,GTP/GDP-exchange factors (GEFs),Nucleosomal protein complex,Conditional phenotypes,PS00824,11,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),plasma membrane,11
50,AAAAH,Essential,GTP/GDP-exchange factors (GEFs),Nucleosomal protein complex,Conditional phenotypes,PS00824,11,METABOLISM,nucleus,11
51,AAAAH,Essential,GTP/GDP-exchange factors (GEFs),Nucleosomal protein complex,Conditional phenotypes,PS00824,11,PROTEIN SYNTHESIS,nucleus,11
52,AAAAH,Essential,GTP/GDP-exchange factors (GEFs),Respiration chain complexes,Mating and sporulation defects,PS00824,11,METABOLISM,nucleus,11
53,AAAAH,Essential,GTP/GDP-exchange factors (GEFs),Nucleosomal protein complex,Conditional phenotypes,PS00824,11,PROTEIN DESTINATION,nucleus,11
54,AAAAH,Essential,GTP/GDP-exchange factors (GEFs),Nucleosomal protein complex,Conditional phenotypes,PS00824,11,PROTEIN SYNTHESIS,nucleus,11
55,AAAAH,Essential,GTP/GDP-exchange factors (GEFs),Respiration chain complexes,Conditional phenotypes,PS00824,11,METABOLISM,nucleus,11
56,AAAAH,Essential,GTP/GDP-exchange factors (GEFs),Nucleosomal protein complex,Cell morphology and organelle mutants,PS00824,11,PROTEIN SYNTHESIS,nucleus,11
57,AAAAH,Essential,GTP/GDP-exchange factors (GEFs),Nucleosomal protein complex,Cell morphology and organelle mutants,PS00824,11,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS",nucleus,11
58,AAAAH,Essential,GTP/GDP-exchange factors (GEFs),Nucleosomal protein complex,Cell cycle defects,PS00824,11,METABOLISM,nucleus,11
59,AAAAH,Essential,GTP/GDP-exchange factors (GEFs),Respiration chain complexes,Mating and sporulation defects,PS00824,11,METABOLISM,nucleus,11
60,AAAAH,Essential,GTP/GDP-exchange factors (GEFs),Nucleosomal protein complex,Cell morphology and organelle mutants,PS00824,11,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),plasma membrane,11
61,AAAAH,Essential,GTP/GDP-exchange factors (GEFs),Respiration chain complexes,Conditional phenotypes,PS00824,11,CELLULAR TRANSPORT AND TRANSPORTMECHANISMS,nucleus,11
